beta: 25.6788sec, alpha:  6.5996sec, calc: 270230 / 499500
beta: 25.9161sec, alpha:  6.6568sec, calc: 272774 / 499500
beta: 25.3156sec, alpha:  6.5362sec, calc: 266713 / 499500
beta: 26.0912sec, alpha:  6.7283sec, calc: 275172 / 499500
beta: 25.9650sec, alpha:  6.6998sec, calc: 273524 / 499500
beta: 25.7529sec, alpha:  6.6066sec, calc: 270664 / 499500
beta: 26.0931sec, alpha:  6.7268sec, calc: 274428 / 499500
beta: 26.3579sec, alpha:  6.7491sec, calc: 276802 / 499500
beta: 26.3448sec, alpha:  6.7774sec, calc: 277256 / 499500
beta: 25.1313sec, alpha:  6.4525sec, calc: 264743 / 499500
beta: 25.8200sec, alpha:  6.6473sec, calc: 271597 / 499500
beta: 26.3564sec, alpha:  6.7777sec, calc: 277214 / 499500
beta: 25.4719sec, alpha:  6.5887sec, calc: 268004 / 499500
beta: 25.3122sec, alpha:  6.5145sec, calc: 266095 / 499500
beta: 25.8306sec, alpha:  6.6589sec, calc: 272315 / 499500
beta: 26.1595sec, alpha:  6.7376sec, calc: 275548 / 499500
beta: 25.9153sec, alpha:  6.6956sec, calc: 273116 / 499500
beta: 26.6429sec, alpha:  6.8553sec, calc: 280584 / 499500
beta: 26.1301sec, alpha:  6.7364sec, calc: 275083 / 499500
beta: 25.5230sec, alpha:  6.5742sec, calc: 268770 / 499500
beta: 26.1330sec, alpha:  6.7255sec, calc: 274965 / 499500
beta: 26.4692sec, alpha:  6.8201sec, calc: 278192 / 499500
beta: 26.2211sec, alpha:  6.7378sec, calc: 275625 / 499500
beta: 25.8877sec, alpha:  6.6790sec, calc: 271798 / 499500
beta: 26.1793sec, alpha:  6.7399sec, calc: 275121 / 499500
beta: 26.1505sec, alpha:  6.7232sec, calc: 274689 / 499500
beta: 26.0396sec, alpha:  6.7056sec, calc: 273398 / 499500
beta: 26.3865sec, alpha:  6.8036sec, calc: 277812 / 499500
beta: 26.8731sec, alpha:  6.9042sec, calc: 282179 / 499500
